,title,imdb_score,genres,actors,directors
1,Taxi Driver,8.2,"['drama', 'crime']","['Robert De Niro', 'Jodie Foster', 'Albert Brooks', 'Harvey Keitel', 'Cybill Shepherd', 'Peter Boyle', 'Leonard Harris', 'Diahnne Abbott', 'Gino Ardito', 'Martin Scorsese', 'Murray Moston', 'Richard Higgs', 'Bill Minkin', 'Bob Maroff', 'Victor Argo', 'Joe Spinell', 'Robinson Frank Adu', 'Brenda Dickson', 'Norman Matlock', 'Harry Northup', 'Harlan Cary Poe', 'Steven Prince', 'Peter Savage', 'Nicholas Shields', 'Ralph S. Singleton', 'Annie Gagen', 'Carson Grant', 'Mary-Pat Green', 'Debbi Morgan', 'Don Stroud', 'Copper Cunningham', 'Garth Avery', 'Nat Grant', 'Billie Perkins', 'Catherine Scorsese', 'Charles Scorsese']",['Martin Scorsese']
2,Deliverance,7.7,"['drama', 'action', 'thriller', 'european']","['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox', 'Ed Ramey', 'Billy Redden', 'Seamon Glass', 'Randall Deal', 'Bill McKinney', ""Herbert 'Cowboy' Coward"", 'Lewis Crone', 'Ken Keener', 'Johnny Popwell', 'John Fowler', 'Kathy Rickman', 'Louise Coldren', 'Pete Ware', 'James Dickey', 'Macon McCalman', 'Hoyt Pollard', 'Belinda Beatty', 'Charley Boorman']",['John Boorman']
3,Monty Python and the Holy Grail,8.2,"['fantasy', 'action', 'comedy']","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson', 'Sandy Rose', 'Romilly Squire', 'Joni Flynn', 'Alison Walker', 'Loraine Ward', 'Anna Lanski', 'Sally Coombe', 'Vivienne MacDonald', 'Yvonne Dick', 'Daphne Darling', 'Fiona Gordon', 'Judy Lamb', 'Tracy Sneddon', 'Joyce Pollner', 'Mary Allen', 'Gloria Graham', 'Sylvia Taylor', 'Julian Doyle', 'Margarita Doyle', 'Zack Matalon', 'Scott Mike', 'William Palin', 'Terry Jones', 'Tom Raeburn', 'Brian Ross', 'Roy Forge Smith', 'John Thornton', 'Maggie Weston']","['Terry Jones', 'Terry Gilliam']"
4,The Dirty Dozen,7.7,"['war', 'action']","['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'Jim Brown', 'John Cassavetes', 'Richard Jaeckel', 'George Kennedy', 'Trini López', 'Ralph Meeker', 'Robert Ryan', 'Telly Savalas', 'Donald Sutherland', 'Clint Walker', 'Robert Webber', 'Tom Busby', 'Ben Carruthers', 'Stuart Cooper', 'Robert Phillips', 'Colin Maitland', 'Al Mancini', 'George Roubicek', 'Thick Wilson', 'Dora Reisser', 'Michael Anthony', 'Leo Britt', 'Alan Chuntz', 'Gary Files', 'Judith Furse', 'Hal Galili', 'Romo Gorrara', 'Willoughby Gray', 'Gerard Heinz', 'John G. Heller', 'George Hilsdon', 'John Hollis', 'Alf Joint', 'Juba Kennerley', 'Hildegard Knef', 'Ann Lancaster', 'Richard Marner', 'Dick Miller', 'Lionel Murton', 'Suzanne Owens-Duval', 'Mike Reid', 'Terry Richards', 'Frederick Schiller', 'Richard Shaw', 'Warren Stanhope', 'Hedger Wallace', 'Theodore Wilhelm', 'Rocky Taylor', 'Burnell Tucker', 'Vicki Woolf', 'Michael Segal']",['Robert Aldrich']
5,Monty Python's Flying Circus,8.8,"['comedy', 'european']","['Graham Chapman', 'Michael Palin', 'Terry Jones', 'Eric Idle', 'Terry Gilliam']",
6,Life of Brian,8.0,['comedy'],"['Graham Chapman', 'John Cleese', 'Terry Gilliam', 'Eric Idle', 'Terry Jones', 'Michael Palin', 'Terence Bayler', 'Carol Cleveland', 'Kenneth Colley', 'Neil Innes', 'Charles McKeown', 'John Young', 'Gwen Taylor', 'Sue Jones-Davies', 'Peter Brett', 'John Case', 'Chris Langham', 'Andrew MacLachlan', 'Bernard McKenna', 'Spike Milligan', 'George Harrison']",['Terry Jones']
7,Dirty Harry,7.7,"['thriller', 'action', 'crime']","['Clint Eastwood', 'Harry Guardino', 'Reni Santoni', 'John Vernon', 'Andrew Robinson', 'John Larch', 'John Mitchum', 'Mae Mercer', 'Lyn Edgington', 'Ruth Kobart', 'Woodrow Parfrey', 'Josef Sommer', 'William Paterson', 'James Nolan', 'Maurice Argent', 'Jo De Winter', 'Craig Kelly', 'Albert Popwell', 'Joy Carlin', 'Bill Couch', 'Diana Davidson', 'Vince Deadrick Sr.', 'Chuck Dorsett', 'Al Dunlap', 'Larry Duran', 'George Fargo', 'Lois Foraker', 'Max Gail', 'John Garber', 'Christopher Pray', 'Eddie Garrett', 'James W. Gavin', 'David Gilliam', 'Don Haggerty', 'Scott Hale', 'Kate Harper', 'Bob Harris', 'Chuck Hicks', 'Raymond Johnson', 'Richard Lawson', 'Laurie Mock', 'Ann Noland', ""Kathleen O'Malley"", 'Angela Paton', 'Victor Paul', 'Debralee Scott', 'Don Siegel', 'Kristoffer Tabori', 'Tony Dario', 'Marc Hertsens', 'Gordon Chapli', 'Janet Wisely', 'Pamela Tanimura', 'Richard Samuelson', 'Derek Jue', 'Sean Maley', 'Diane Darnell']",['Don Siegel']
8,Bonnie and Clyde,7.7,"['crime', 'drama', 'action']","['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman', 'Estelle Parsons', 'Denver Pyle', 'Dub Taylor', 'Evans Evans', 'Gene Wilder', 'Mabel Cavitt', 'Patrick Cranshaw', 'Owen Bush', 'Clyde Howdy', 'Russ Marker', 'Ann Palmer', 'Ken Mayer']",['Arthur Penn']
9,The Blue Lagoon,5.8,"['romance', 'action', 'drama']","['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels', 'Jeffrey Kleiser', 'Gus Mercurio', 'Elva Josephson', 'Glenn Kohan', 'Bradley Pryce', 'Chad Timmerman', 'Gert Jacoby', 'Alex Hamilton', 'Richard Evanson']",['Randal Kleiser']
10,The Guns of Navarone,7.5,"['action', 'drama', 'war']","['Gregory Peck', 'David Niven', 'Anthony Quinn', 'Stanley Baker', 'Anthony Quayle', 'James Darren', 'Irene Papas', 'Gia Scala', 'James Robertson Justice', 'Richard Harris', 'Bryan Forbes', 'Allan Cuthbertson', 'Michael Trubshawe', 'Percy Herbert', 'George Mikell', 'Walter Gotell', 'Tutte Lemkow', 'Albert Lieven', 'Norman Wooland', 'Kleo Skouloudi', 'Nicholas Papakonstantinou', 'Christopher Rhodes', 'William Hoehne Jr.']",['J. Lee Thompson']
11,The Professionals,7.3,"['western', 'action', 'european']","['Burt Lancaster', 'Lee Marvin', 'Robert Ryan', 'Woody Strode', 'Jack Palance', 'Claudia Cardinale', 'Ralph Bellamy', 'Joe De Santis', 'Rafael Bertrand', 'Jorge Martínez de Hoyos', 'Marie Gomez', 'José Chávez', 'Carlos Romero', 'Vaughn Taylor', 'Elizabeth Campbell', 'Don Carlos', 'Leigh Chapman', 'Roberto Contreras', 'Dirk Evans', 'Darwin Lamb', 'Eddie Little Sky', 'John Lopez', 'John McKee', 'Philip L. Parslow', 'Ron Veto']",['Richard Brooks']
12,Richard Pryor: Live in Concert,8.1,"['comedy', 'documentation']","['Richard Pryor', 'Jennifer Lee Pryor']",['Jeff Margolis']
13,White Christmas,7.5,"['romance', 'comedy']","['Bing Crosby', 'Danny Kaye', 'Rosemary Clooney', 'Vera-Ellen', 'Dean Jagger', 'Mary Wickes', 'John Brascia', 'Anne Whitfield', 'Bea Allen', 'Frank Baker', 'Glen Cargyle', 'George Chakiris', 'Barrie Chase', 'Lorinne Crawford', 'Franklyn Farnum', 'Bess Flowers', 'Gavin Gordon', 'Johnny Grant', 'Percy Helton', 'I. Stanford Jolley', 'Sig Ruman', 'Grady Sutton', 'Herb Vigran', 'Robert Crosson']",['Michael Curtiz']
14,Cairo Station,7.5,"['drama', 'crime', 'comedy']","['Farid Shawqi', 'Hind Rostom', 'Youssef Chahine', 'Hassan el Baroudi', 'Abdel Aziz Khalil', 'Said Khalil', 'Abdel Ghani Nagdi', 'Loutfi El Hakim', 'Abdel Hamid Bodaoha', 'F. El Demerdache', 'Said El Araby', 'Ahmed Abaza', 'Hana Abdel Fattah', 'Safia Sarwat', 'Asaad Kellada', 'Naima Wasfy', 'Sherine', 'Soheir', 'Esmat Mahmoud', 'Nawal Morsi', 'Gharib Moawad', 'Mohamed Mazhar', 'Galal Issa', 'Mahrous El Garhi', 'Ahmed El Tantawi', 'S. Abdel Aziz', 'Nadia Lotfi', 'Safia Tharwat']",['Youssef Chahine']
15,Hitler: A Career,7.5,"['history', 'documentation', 'european']",['Gert Westphal'],['Joachim Fest']
16,FTA,6.2,"['war', 'documentation', 'music', 'comedy']","['Jane Fonda', 'Donald Sutherland', 'Pamela Donegan', 'Len Chandler', 'Michael Alaimo', 'Holly Near', 'Paul Mooney', 'Rita Martinson', 'Peter Boyle', 'Steve Jaffe']",['Francine Parker']
17,Alexandria… Why?,7.2,['drama'],"['Farid Shawqi', 'Mahmoud el-Meliguy', 'Ezzat El Alaili', 'Youssef Wahby', 'Yehia Chahine', 'Leila Fawzi', 'Akela Kateb', 'Zeinab Sedky', 'Ahmad Abdel Waress', 'Abdel Azziz Makhyoun', 'Ahmed Mehrez', 'Abdel Warith Assir', 'Aida Kamel', 'Oussaida Abbass', 'Zouzou Hamdy El-Hakim', 'Abdel Salam Mohamed', 'Halima El Soghayar', 'Samira Mohamed', 'Abou Hachich', 'Gamil El Traboulsi', 'Ahmad Zaki', 'Ahmad Bedir', 'Naglaa Fathy', 'Abdullah Mahmoud', 'Mohsena Tawfik', 'Seif Abdelrahman']",['Youssef Chahine']
18,The Land,8.1,['drama'],"['Ezzat El Alaili', 'Mahmoud el-Meliguy', 'Hamdy Ahmed', 'Yehia Chahine', 'Tewfik El Dekn', 'Ali El Sherif', 'Salah El-Saadany', 'Nagwa Ibrahim', 'Abdel Warith Assir', 'Fatma Omara\u200f', 'Ashraf Al-Selehdar', 'Hussein Ismail', 'Mahmoud Al Iraq', 'Faiza Abdelgawwad']",['Youssef Chahine']
19,Dostana,2.1,"['drama', 'comedy', 'crime', 'romance', 'action']","['Amitabh Bachchan', 'Shatrughan Sinha', 'Zeenat Aman', 'Prem Chopra', 'Amrish Puri', 'Helen', 'Pran', 'Gajanan Jagirdar', 'Sajjan', 'Iftekhar', 'K.N. Singh', 'Trilok Kapoor', 'Abhimanyu Sharma', 'Goga Kapoor', 'Mac Mohan', 'Paintal', 'Jagdish Raj', 'Ruby Myers', 'Yunus Parvez']",['Raj Khosla']
20,Saladin the Victorious,7.6,"['action', 'drama', 'war', 'history', 'romance']","['Ahmad Mazhar', 'Nadia Lotfi', 'Salah Zulfikar', 'Leila Fawzi', 'Hamdy Ghaith', 'Laila Taher', 'Omar El-Hariri', 'Husain Reyadh', 'Mahmoud el-Meliguy', 'Zaki Toleimat', 'Tewfik El Dekn', 'Mohamed Hamdy', 'Mohamed Sultan', 'Mohamed Abdel Gawad', 'Sami Loutfi', 'Ibrahim Emara', 'Ahmed Louxor', 'Salah Nazmi']",['Youssef Chahine']
