title,country,release_year,rating,duration,description,year_added,month_added,year_month_added,imdb_score,genres,actors,directors
Dick Johnson Is Dead,United States,2020,PG-13,90 min,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",2021,September,"September, 2021",7.4,"['documentation', 'drama']","['Richard Johnson', 'Kirsten Johnson', 'Isla Sierck', 'Jed Sierck', 'Felix Torres', 'Viva Torres', 'Raymond Damazo', 'Michael Hilow', 'Michael Melton', 'Joanne Reiner Tucker', 'Ken Tucker', 'Laurie McEwan', 'Lyn Schildwachter', 'Julie Tilton', 'Ira Sachs', 'Boris Torres', 'Joyce Fogel', 'Lolita Hirst', 'Kirk Johnson', 'Marta Bida', 'Simona Vuletic', 'Chase DeForest', 'Catherine Joy Johnson', 'Michael Fatica', 'Mary Page Nance', 'Fredi Bernstein', 'Ana Hoffman', 'Vasthy Mompoint', 'Nicole Tio', 'Adi Gonzalez', 'Dexter Buell', 'Kevin Loreque', 'Morgan Green', 'Ahsan Ali', 'Samantha Everette Clowes']",['Kirsten Johnson']
Blood & Water,South Africa,2021,TV-MA,2 Seasons,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2021,September,"September, 2021",,,,
Ganglands,,2021,TV-MA,1 Season,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021,September,"September, 2021",7.0,"['action', 'crime', 'drama', 'thriller']","['Sami Bouajila', 'Tracy Gotoas', 'Sofia Lesaffre', 'Nabiha Akkari', 'Salim Kechiouche', 'Geert Van Rampelberg', 'Samuel Jouy', 'Frank Onana', 'Edson Pedro', 'Carlos Schram']",
Jailbirds New Orleans,,2021,TV-MA,1 Season,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",2021,September,"September, 2021",6.6,"['documentation', 'reality']",,
Kota Factory,India,2021,TV-MA,2 Seasons,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2021,September,"September, 2021",9.1,"['drama', 'comedy']",['Mayur More'],
Midnight Mass,,2021,TV-MA,1 Season,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021,September,"September, 2021",7.7,"['fantasy', 'horror', 'action', 'drama', 'scifi']","['Kate Siegel', 'Zach Gilford', 'Hamish Linklater', 'Henry Thomas', 'Kristin Lehman', 'Samantha Sloyan', 'Igby Rigney', 'Rahul Kohli', 'Annarah Cymone', 'Annabeth Gish', 'Alex Essoe', 'Matt Biedel', 'Rahul Abburi', 'Michael Trucco', 'Crystal Balint', 'Robert Longstreet']",
My Little Pony: A New Generation,,2021,PG,91 min,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021,September,"September, 2021",6.8,"['music', 'action', 'animation', 'family', 'fantasy', 'comedy', 'drama', 'scifi']","['Vanessa Hudgens', 'Kimiko Glenn', 'James Marsden', 'Sofia Carson', 'Liza Koshy', 'Ken Jeong', 'Elizabeth Perkins', 'Jane Krakowski', 'Phil LaMarr', 'Michael McKean', 'Tabitha St. Germain', 'Tara Strong', 'Andrea Libman', 'Ashleigh Ball', 'Arturo A. Hernandez', 'Brooke Goldner', 'Gillian M. Berrow', 'Alan Schmuckler', 'Heather Langenkamp', 'Will Friedle', 'Robert Cullen', 'Laura Bailey', 'Kari Wahlgren', 'Tony Matthews', 'Lisa Linder', 'Thomas Rickert', 'Inbal Elazari', 'Inbal Elazari']",['Robert Cullen']
Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA,125 min,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021,September,"September, 2021",7.0,"['drama', 'european']","['Kofi Ghanaba', 'Oyafunmike Ogunlano', 'Alexandra Duah', 'Nick Medley', 'Mutabaruka', 'Afemo Omilami', 'Reginald Carter', 'Mzuri', 'Jimmy Lee Savage', 'Hasinatu Camara', 'Jim Faircloth', 'Stanley Michelson', 'John A. Mason', 'Louise Reid', 'Roger Doctor', 'Alditz McKenzie', 'Chrispan Rigby', 'Maxwell Parris', 'Hossana Ghanaba']",['Haile Gerima']
The Great British Baking Show,United Kingdom,2021,TV-14,9 Seasons,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",2021,September,"September, 2021",8.6,"['reality', 'european']","['Mary Berry', 'Paul Hollywood', 'Mel Giedroyc', 'Sue Perkins']",
The Starling,United States,2021,PG-13,104 min,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021,September,"September, 2021",6.3,"['comedy', 'drama', 'fantasy']","['Melissa McCarthy', ""Chris O'Dowd"", 'Kevin Kline', 'Timothy Olyphant', 'Daveed Diggs', 'Skyler Gisondo', 'Laura Harrier', 'Rosalind Chao', 'Kimberly Quinn', 'Loretta Devine', 'Jesse Garcia', 'Edi Patterson', 'Emily Tremaine', 'Ravi Kapoor', 'Don McManus']",['Theodore Melfi']
"Vendetta: Truth, Lies and The Mafia",,2021,TV-MA,1 Season,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",2021,September,"September, 2021",6.7,"['documentation', 'crime', 'thriller']","['Silvana Saguto', 'Pino Maniaci']",['Davide Gambino']
Bangkok Breaking,,2021,TV-MA,1 Season,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021,September,"September, 2021",5.8,"['thriller', 'action', 'crime', 'drama']","['Sukollawat Kanarot', 'Aom Sushar Manaying', 'Sahajak Boonthanakit', 'Bank Pawalit Mongkolpisit', 'Suda Chuenban', 'Japan Panupan Jantanawong', 'Arisara Wongchalee', 'Nophand Boonyai', 'Mind Waratthaya Wongchayaporn', 'Noon Pitchatorn Santinatornkul', 'Daweerit Chullasapya']",
Je Suis Karl,"Germany, Czech Republic",2021,TV-MA,127 min,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,September,"September, 2021",,,,
Confessions of an Invisible Girl,,2021,TV-PG,91 min,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,September,"September, 2021",5.2,"['comedy', 'drama']","['Klara Castanho', 'Gabriel Lima', 'Júlia Gomes', 'Marcus Bessa', 'Lucca Picon', 'Caio Cabral', 'Kiria Malheiros', 'Fernanda Concon', 'Rosane Gofman', 'Stepan Nercessian', 'Júlia Rabello', 'Alcemar Vieira', 'Ana Miranda', 'Thiago Justino', 'Thalita Rebouças', 'Roberta Santiago', 'Leonardo Cidade', 'Leo Tucherman', 'Jade Cardozo', 'Alex Patrício', 'Tom Cabral', 'Brian Monteiro', 'Vitória Masciel', 'Bruna Ventura', 'Chao Chen', 'Bruno Lamberg']",['Bruno Garotti']
Crime Stories: India Detectives,,2021,TV-MA,1 Season,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021,September,"September, 2021",7.1,"['documentation', 'crime']",,
Dear White People,United States,2021,TV-MA,4 Seasons,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021,September,"September, 2021",6.1,"['comedy', 'drama']","['Logan Browning', 'Brandon P. Bell', 'DeRon Horton', 'Antoinette Robertson', 'John Patrick Amedori', 'Ashley Blaine Featherson', 'Marque Richardson', 'Giancarlo Esposito']",
